mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5591323852539063,0.014163608554576398,0.020340394973754884,0.0007551534657758497,True,balanced,10,sqrt,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8196186961869618,0.8196187162480519,0.8332572215577543,0.8415751513174585,0.8491733736235,0.8326486317867452,0.011770115937347088,12
1.7047343254089355,0.029865870404613016,0.05603647232055664,0.003838056365155593,True,balanced,10,sqrt,1,2,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8148903841979596,0.8252763582327571,0.834293791453735,0.8474575042586351,0.8395778249121073,0.8322991726110388,0.011305911177690801,16
0.5548244476318359,0.02033775156195685,0.020681142807006836,0.0015947691900804097,True,balanced,10,sqrt,1,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8190434845524925,0.8235402848755029,0.8345185024102062,0.8456090754231452,0.8379797774355696,0.8321382249393834,0.009660746019866419,17
1.7839192390441894,0.03672009685604931,0.061961793899536134,0.005270855449085776,True,balanced,10,sqrt,1,5,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8161601910136749,0.8267623500416803,0.8362545757674604,0.8445725055271647,0.8457303076967777,0.8338959860093516,0.011180781463839712,6
0.6148252964019776,0.042071476710813446,0.024209260940551758,0.0026073595469044255,True,balanced,10,sqrt,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8095868605744881,0.8206552861440325,0.8353303613497155,0.8475698597368707,0.8427158090478543,0.8311716353705922,0.01411354536663646,23
1.8160086631774903,0.10811475178831643,0.05409407615661621,0.005269758386239468,True,balanced,10,sqrt,2,2,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.8140836408364083,0.8283860679206988,0.8382153600811859,0.8426117212134392,0.8524348432460702,0.8351463266595603,0.013064315673247727,3
0.5804144859313964,0.03252493976051963,0.020149755477905273,0.0009748503970939511,True,balanced,10,sqrt,2,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8220425439548513,0.8227284259359936,0.837291145663441,0.8360298648109891,0.8475753261469623,0.8331334613024474,0.009649001619914261,10
1.7278396129608153,0.13374508075751454,0.0627363681793213,0.012327588730356722,True,balanced,10,sqrt,2,5,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8191592504160335,0.8200681381609944,0.837291145663441,0.8456090754231452,0.8484978353720545,0.8341250890071337,0.012410124001395524,5
0.49410347938537597,0.03109783412867335,0.022449541091918945,0.0041713074189526035,True,balanced,10,log2,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8141994066999494,0.8207676416222681,0.8200935087528542,0.84838171867638,0.8339192840747305,0.8274723119652364,0.012282801747393267,45
1.6165689468383788,0.19595374445207162,0.06119771003723144,0.007990555235852627,True,balanced,10,log2,1,2,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8133926633383981,0.8197310717262876,0.8248269363198144,0.8416875067956942,0.8339192840747305,0.826711492450985,0.010058849834646904,50
0.529126787185669,0.05558765512159893,0.02373342514038086,0.006070583628236935,True,balanced,10,log2,1,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8170827002387671,0.8152223551157987,0.8317458591569715,0.8409880033344206,0.8360112734985617,0.8282100382689039,0.01028722758568992,41
1.5475579738616942,0.1523846941979603,0.0792811393737793,0.027890931602137,True,balanced,10,log2,1,5,300,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8171984661023081,0.82861077887717,0.8335942879924614,0.8379906491247145,0.8446843129848622,0.8324156990163033,0.009263148754278722,14
0.5157125949859619,0.06065314521780426,0.023752498626708984,0.0035666363344775023,True,balanced,10,log2,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8064720353085884,0.82861077887717,0.8269000761117755,0.8379906491247145,0.8391492576343087,0.8278245594113114,0.011738835256360861,43
