mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3417902946472168,0.012952071295724376,0.007955360412597656,0.0008186723475942435,0.01,3,sqrt,1,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",0.7053107589899429,0.7360806059947085,0.7338951107245116,0.7247906926171578,0.7104483249556905,0.7221050986564024,0.01232446203932064,113
0.31615419387817384,0.007176348201912466,0.007314348220825195,0.0006699841992378083,0.01,3,sqrt,1,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",0.6941212647420592,0.711514624334022,0.7239788336776485,0.7079554927331376,0.6954993171978964,0.7066139065369528,0.011017783608706104,119
0.9776027202606201,0.026164035175320247,0.010205936431884766,0.0006787869717761574,0.01,3,sqrt,1,2,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.8}",0.7799399464582881,0.8045449603131456,0.8147113189083397,0.8201442499365735,0.8042028648632944,0.8047086680959282,0.013799147935618941,86
0.9465113639831543,0.0229447360972105,0.010470247268676758,0.0008636734743926848,0.01,3,sqrt,1,2,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 1.0}",0.7859380652630056,0.8062810336703998,0.8098655358631438,0.8192200355188286,0.8002658569892787,0.8043141054609315,0.011053878107042418,87
0.3280150890350342,0.005757520334751608,0.006834983825683594,0.00025656613125483573,0.01,3,sqrt,1,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.7070400115765864,0.7300858975752963,0.7014859918089232,0.7040339241056865,0.6894703199000494,0.7064232289933084,0.013249819023377084,120
0.3411413192749023,0.012948364866993274,0.0076715946197509766,0.0014060834697926321,0.01,3,sqrt,1,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1.0}",0.7179979740973881,0.7231669747381393,0.7201696205284331,0.7020731397919611,0.6867027922247727,0.7100221002761389,0.013757547425893125,116
0.9843291759490966,0.01987131692007905,0.011175203323364257,0.000667802249854138,0.01,3,sqrt,1,5,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 0.8}",0.7847840243108314,0.8074299590446159,0.8186328875357907,0.8210684643543185,0.8061713688003023,0.8076173408091718,0.012851157796888415,81
0.9618809223175049,0.03485056405510347,0.010262823104858399,0.000806110183607195,0.01,3,sqrt,1,5,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 1.0}",0.7730193184284784,0.8075423145228516,0.8100902468196151,0.8171468957268675,0.7982973530522708,0.8012192257100168,0.015337139566053815,88
0.3283410549163818,0.006523476776640717,0.006844663619995117,0.0007739728774753321,0.01,3,sqrt,2,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",0.6950437739671514,0.7127759051864738,0.7131383422130404,0.7227175528251967,0.7022038527471889,0.7091758853878102,0.009595454923818456,117
0.35055932998657224,0.017200223228044157,0.007615995407104492,0.000964088670407326,0.01,3,sqrt,2,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",0.7209970334997468,0.7233916856946105,0.7209814794679424,0.7109528469428437,0.7032498474591045,0.7159145786128496,0.007647563777133049,115
1.0200637817382812,0.036041563601859956,0.011222314834594727,0.0009270750069350879,0.01,3,sqrt,2,2,300,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.8}",0.7887055929382824,0.8083541734623609,0.8166721032220652,0.8210684643543185,0.8002658569892787,0.8070132381932611,0.01160463865334068,82
0.9562067508697509,0.02749429013657685,0.010184669494628906,0.0012168984296889909,0.01,3,sqrt,2,2,300,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 1.0}",0.7829390058606469,0.8066181001051067,0.8188575984922619,0.8210684643543185,0.802110875439463,0.8063188088503594,0.013705364277193271,84
