mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08562273979187011,0.03264980846743304,0.011759710311889649,0.005728911331131961,0.01,balanced,5000,l1,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}",0.7975978583315245,0.8081403356166865,0.8087528541915843,0.8272117719546228,0.8199000493941948,0.8123205738977226,0.010258241545239901,17
0.006651830673217773,0.002010513319919127,0.0,0.0,0.01,balanced,5000,l1,lbfgs,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,19
0.12681174278259277,0.03779615762862659,0.007502937316894531,0.002289462190713836,0.01,balanced,5000,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8311591057087042,0.8350295386176652,0.8261752020586424,0.8403754847595231,0.8480111572769271,0.8361500976842924,0.007539268225237201,8
1.458979034423828,0.19230264827488544,0.009567975997924805,0.0009033131815614377,0.01,balanced,5000,l2,lbfgs,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8282758121698864,0.8379145373491356,0.8310209851038382,0.8498423398934435,0.8469651625650114,0.8388037674162631,0.008493040979679366,7
0.07362265586853027,0.02279829832131296,0.006444263458251953,0.0019976876540288274,0.01,,5000,l1,liblinear,"{'C': 0.01, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}",0.7914767382967947,0.7830633177485412,0.8093907433583414,0.8218549527019681,0.8080817619199814,0.8027735028051254,0.013799822468834665,18
0.003044605255126953,0.0004291486210022408,0.0,0.0,0.01,,5000,l1,lbfgs,"{'C': 0.01, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,19
0.2400972843170166,0.0497753931914505,0.01814093589782715,0.013944720946526323,0.01,,5000,l2,liblinear,"{'C': 0.01, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8079697561681499,0.8071798774962851,0.8251893733463811,0.8256641658511834,0.8167548014062818,0.8165515948536562,0.007989599512214469,16
1.4169955253601074,0.1504830129669974,0.009356927871704102,0.007708845149103176,0.01,,5000,l2,lbfgs,"{'C': 0.01, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8128138340206932,0.811101446123736,0.8281867275560871,0.8295857344786344,0.8178007961181974,0.8198977076594696,0.007674871142142714,15
0.19980697631835936,0.02458049578537421,0.009908533096313477,0.00670213710027368,0.1,balanced,5000,l1,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8379639678749728,0.8327316878692328,0.8384147004457976,0.8530644050596209,0.8518246796641195,0.8427998881827488,0.00813377922324381,1
0.005912351608276367,0.002630917371776443,0.0,0.0,0.1,balanced,5000,l1,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,19
0.2176480770111084,0.04161689075827919,0.0068686485290527345,0.0019604420911850436,0.1,balanced,5000,l2,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8253925186310687,0.8472690370048204,0.8329817694175636,0.8490304809539342,0.8527471888892117,0.8414841989793198,0.010473768655215869,4
5.174771642684936,2.176796478847999,0.02297239303588867,0.025509381643820363,0.1,balanced,5000,l2,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8281600463063454,0.8435721793338408,0.8358667681490342,0.8549128338951107,0.848810181015196,0.8422644017399055,0.009427649784544318,3
0.1578746795654297,0.02094127311599988,0.009313058853149415,0.004833167850815313,0.1,,5000,l1,liblinear,"{'C': 0.1, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}",0.8233087330873308,0.8207930122141278,0.845721430901381,0.8420499438222608,0.8238297934160443,0.831140582688229,0.010521150294882894,10
0.006168842315673828,0.001985287551648301,0.0,0.0,0.1,,5000,l1,lbfgs,"{'C': 0.1, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,19
0.2523029804229736,0.075196992907608,0.01371145248413086,0.008717887742199407,0.1,,5000,l2,liblinear,"{'C': 0.1, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}",0.8193871644598798,0.829785074843246,0.8456090754231452,0.832358377731869,0.82487578812796,0.8304030961172201,0.008801463140037824,11
6.8347938537597654,1.9549147705724996,0.017203521728515626,0.015489254707683135,0.1,,5000,l2,lbfgs,"{'C': 0.1, 'class_weight': None, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8243470081759641,0.8296727193650103,0.8475698597368707,0.8333949476278497,0.8268442920649679,0.8323657653941325,0.008176347996711715,9
